"Department","Division","Model Name","Model#","Description","Shipping Date","Warranty Expiry Date","CPU","Memory","HDD/SSD"
"OMB",,"SURFACE PRO 4","SURFACE PRO 4","PC-TABLET",,,"2400","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","32768",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"REC","4D","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/20/2021","07/21/2024","2600","16384",
"CEC-UC",,"THINKCENTRE M82","M82","PC-DESKTOP","08/31/2012","09/09/2015","3400","4096","238472"
"HHS",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","06/25/2020","3200","8192",
"HHS",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","06/25/2020","3200","8192",
"HHS",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","06/25/2020","3200","8192",
"HHS",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","06/25/2020","3200","8192",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,,,
"CUPF",,"THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","8192",
"CCL",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"PRO",,"THINKPAD L14","L14","PC-LAPTOP","03/16/2021","07/21/2024","2400","8192",
"HHS",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","476937"
"HHS",,"OPTIPLEX 760","760","PC-DESKTOP","05/08/2009","05/08/2013","3000","4096","152586"
